순위,책이름,저자및출판사,가격
1,선재 업고 튀어 대본집 세트,이시은,"45,000"
2,리틀 라이프 1,한야 야나기하라,"13,320"
3,리틀 라이프 2,한야 야나기하라,"13,320"
4,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,"21,420"
5,불변의 법칙,모건 하우절,"22,500"
6,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,"16,020"
7,쿠이 료코 낙서집 데이드림 아워,쿠이 료코,"18,000"
8,나는 다정한 관찰자가 되기로 했다,이은경,"16,020"
9,세이노의 가르침,세이노(SayNo),"6,480"
10,부자의 마지막 가르침,다우치 마나부,"17,820"
11,신화의 숲,김헌,"16,200"
12,컬러의 세계,찰스 브라메스코,"17,820"
13,원피스 ONE PIECE 108,오다 에이이치로,"4,950"
14,흔한남매 과학 탐험대 10 생태계,흔한남매,"13,320"
15,마흔에 읽는 쇼펜하우어,강용수,"15,300"
16,국어 잘하는 아이가 이깁니다,나민애,"15,750"
17,THE MONEY BOOK 더 머니북,토스,"19,800"
18,룬의 아이들 - 블러디드 7,전민희,"15,300"
19,"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,"15,120"
20,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,"15,750"
21,돈의 심리학 (30만 부 기념 스페셜 에디션) ,모건 하우절,"17,820"
22,설민석의 한국사 대모험 29,설민석,"11,700"
23,빨모쌤의 라이브 영어회화,신용하,"19,800"
24,나의 돈키호테,김호연,"16,200"
